Vernier Format 2
Unbenannt.cmbl 05.07.2024 13:17:23 ,
Aktuell
Zeit	Kraft	Winkel	distance
1,2	-0,000466982628748	0	-0
1,22	0,00627158344267	0	-0
1,24	-0,00720554870016	0	-0
1,26	-0,000466982628748	0	-0
1,28	-0,00720554870016	0	-0
1,3	-0,00720554870016	0	-0
1,32	-0,000466982628748	0	-0
1,34	0,00627158344267	0	-0
1,36	-0,00720554870016	0	-0
1,38	0,00627158344267	0	-0
1,4	-0,000466982628748	0	-0
1,42	-0,000466982628748	0	-0
1,44	-0,000466982628748	0	-0
1,46	-0,000466982628748	0	-0
1,48	-0,000466982628748	0	-0
1,5	-0,00720554870016	0	-0
1,52	-0,00720554870016	0	-0
1,54	-0,000466982628748	0	-0
1,56	-0,000466982628748	0	-0
1,58	-0,000466982628748	0	-0
1,6	0,00627158344267	0	-0
1,62	-0,00720554870016	0	-0
1,64	-0,000466982628748	0	-0
1,66	0,00627158344267	0	-0
1,68	0,00627158344267	0	-0
1,7	-0,00720554870016	0	-0
1,72	-0,000466982628748	0	-0
1,74	-0,000466982628748	0	-0
1,76	-0,00720554870016	0	-0
1,78	-0,000466982628748	0	-0
1,8	-0,000466982628748	0	-0
1,82	-0,000466982628748	0	-0
1,84	-0,00720554870016	0	-0
1,86	-0,000466982628748	0	-0
1,88	0,00627158344267	0	-0
1,9	-0,0139441147716	0	-0
1,92	0,00627158344267	0	-0
1,94	-0,000466982628748	0	-0
1,96	-0,00720554870016	0	-0
1,98	-0,000466982628748	0	-0
2	-0,00720554870016	0	-0
2,02	0,00627158344267	0	-0
2,04	-0,000466982628748	0	-0
2,06	-0,000466982628748	0	-0
2,08	-0,000466982628748	0	-0
2,1	-0,000466982628748	0	-0
2,12	0,00627158344267	0	-0
2,14	0,00627158344267	0	-0
2,16	0,00627158344267	0	-0
2,18	0,00627158344267	0	-0
2,2	0,00627158344267	0	-0
2,22	-0,000466982628748	0	-0
2,24	-0,00720554870016	0	-0
2,26	-0,0139441147716	0	-0
2,28	-0,00720554870016	0	-0
2,3	-0,00720554870016	0	-0
2,32	-0,000466982628748	0	-0
2,34	0,00627158344267	0	-0
2,36	-0,000466982628748	0	-0
2,38	-0,00720554870016	0	-0
2,4	-0,000466982628748	0	-0
2,42	0,00627158344267	0	-0
2,44	-0,000466982628748	0	-0
2,46	-0,00720554870016	0	-0
2,48	-0,0139441147716	0	-0
2,5	-0,00720554870016	0	-0
2,52	-0,000466982628748	0	-0
2,54	0,00627158344267	0	-0
2,56	-0,000466982628748	0	-0
2,58	-0,000466982628748	0	-0
2,6	0,00627158344267	0	-0
2,62	-0,00720554870016	0	-0
2,64	-0,000466982628748	0	-0
2,66	0,00627158344267	0	-0
2,68	-0,000466982628748	0	-0
2,7	0,00627158344267	0	-0
2,72	-0,000466982628748	0	-0
2,74	-0,00720554870016	0	-0
2,76	-0,000466982628748	0	-0
2,78	-0,000466982628748	0	-0
2,8	-0,000466982628748	0	-0
2,82	-0,000466982628748	0	-0
2,84	-0,000466982628748	0	-0
2,86	-0,00720554870016	0	-0
2,88	0,00627158344267	0	-0
2,9	-0,000466982628748	0	-0
2,92	0,00627158344267	0	-0
2,94	-0,000466982628748	0	-0
2,96	-0,00720554870016	0,0174532925199	-0,0219262468844
2,98	-0,000466982628748	0,0174532925199	-0,0219262468844
3	0,00627158344267	0,0174532925199	-0,0219262468844
3,02	-0,00720554870016	0,0174532925199	-0,0219262468844
3,04	-0,000466982628748	0,0349065850399	-0,0438524937687
3,06	-0,000466982628748	0,0349065850399	-0,0438524937687
3,08	-0,000466982628748	0,0523598775598	-0,0657787406531
3,1	-0,000466982628748	0,0523598775598	-0,0657787406531
3,12	0,00627158344267	0,0698131700798	-0,0877049875374
3,14	-0,000466982628748	0,0872664625997	-0,109631234422
3,16	-0,000466982628748	0,10471975512	-0,131557481306
3,18	-0,000466982628748	0,13962634016	-0,175409975075
3,2	-0,000466982628748	0,174532925199	-0,219262468844
3,22	-0,000466982628748	0,191986217719	-0,241188715728
3,24	-0,00720554870016	0,209439510239	-0,263114962612
3,26	-0,00720554870016	0,209439510239	-0,263114962612
3,28	-0,0139441147716	0,226892802759	-0,285041209497
3,3	-0,0139441147716	0,226892802759	-0,285041209497
3,32	-0,000466982628748	0,244346095279	-0,306967456381
3,34	-0,0139441147716	0,244346095279	-0,306967456381
3,36	-0,0139441147716	0,244346095279	-0,306967456381
3,38	-0,0139441147716	0,261799387799	-0,328893703265
3,4	0,00627158344267	0,261799387799	-0,328893703265
3,42	-0,000466982628748	0,279252680319	-0,35081995015
3,44	-0,000466982628748	0,279252680319	-0,35081995015
3,46	0,00627158344267	0,296705972839	-0,372746197034
3,48	-0,000466982628748	0,296705972839	-0,372746197034
3,5	-0,000466982628748	0,314159265359	-0,394672443918
3,52	-0,00720554870016	0,314159265359	-0,394672443918
3,54	-0,0139441147716	0,331612557879	-0,416598690803
3,56	-0,00720554870016	0,349065850399	-0,438524937687
3,58	-0,0139441147716	0,366519142919	-0,460451184571
3,6	-0,000466982628748	0,383972435439	-0,482377431456
3,62	0,0130101495141	0,418879020479	-0,526229925224
3,64	-0,0139441147716	0,453785605519	-0,570082418993
3,66	-0,0139441147716	0,471238898038	-0,592008665877
3,68	-0,0139441147716	0,471238898038	-0,592008665877
3,7	-0,0139441147716	0,471238898038	-0,592008665877
3,72	-0,0139441147716	0,471238898038	-0,592008665877
3,74	-0,00720554870016	0,471238898038	-0,592008665877
3,76	-0,000466982628748	0,471238898038	-0,592008665877
3,78	-0,00720554870016	0,471238898038	-0,592008665877
3,8	-0,000466982628748	0,471238898038	-0,592008665877
3,82	-0,000466982628748	0,471238898038	-0,592008665877
3,84	-0,00720554870016	0,471238898038	-0,592008665877
3,86	-0,0139441147716	0,471238898038	-0,592008665877
3,88	-0,000466982628748	0,471238898038	-0,592008665877
3,9	-0,000466982628748	0,471238898038	-0,592008665877
3,92	-0,000466982628748	0,471238898038	-0,592008665877
3,94	-0,000466982628748	0,471238898038	-0,592008665877
3,96	0,00627158344267	0,471238898038	-0,592008665877
3,98	-0,000466982628748	0,471238898038	-0,592008665877
4	0,00627158344267	0,471238898038	-0,592008665877
4,02	-0,000466982628748	0,471238898038	-0,592008665877
4,04	-0,00720554870016	0,471238898038	-0,592008665877
4,06	-0,0139441147716	0,471238898038	-0,592008665877
4,08	0,00627158344267	0,471238898038	-0,592008665877
4,1	-0,00720554870016	0,471238898038	-0,592008665877
4,12	-0,00720554870016	0,471238898038	-0,592008665877
4,14	-0,00720554870016	0,471238898038	-0,592008665877
4,16	-0,000466982628748	0,471238898038	-0,592008665877
4,18	-0,00720554870016	0,471238898038	-0,592008665877
4,2	-0,000466982628748	0,471238898038	-0,592008665877
4,22	0,00627158344267	0,471238898038	-0,592008665877
4,24	-0,000466982628748	0,471238898038	-0,592008665877
4,26	-0,00720554870016	0,488692190558	-0,613934912762
4,28	-0,000466982628748	0,488692190558	-0,613934912762
4,3	-0,0139441147716	0,488692190558	-0,613934912762
4,32	-0,0139441147716	0,488692190558	-0,613934912762
4,34	-0,00720554870016	0,506145483078	-0,635861159646
4,36	-0,000466982628748	0,506145483078	-0,635861159646
4,38	-0,000466982628748	0,523598775598	-0,657787406531
4,4	-0,000466982628748	0,541052068118	-0,679713653415
4,42	-0,00720554870016	0,558505360638	-0,701639900299
4,44	-0,00720554870016	0,575958653158	-0,723566147184
4,46	-0,00720554870016	0,575958653158	-0,723566147184
4,48	-0,00720554870016	0,593411945678	-0,745492394068
4,5	-0,000466982628748	0,610865238198	-0,767418640952
4,52	-0,00720554870016	0,628318530718	-0,789344887837
4,54	-0,000466982628748	0,663225115758	-0,833197381605
4,56	-0,00720554870016	0,698131700798	-0,877049875374
4,58	-0,0139441147716	0,733038285838	-0,920902369143
4,6	-0,0139441147716	0,750491578358	-0,942828616027
4,62	-0,00720554870016	0,767944870878	-0,964754862911
4,64	-0,0139441147716	0,785398163397	-0,986681109796
4,66	-0,00720554870016	0,802851455917	-1,00860735668
4,68	-0,0139441147716	0,802851455917	-1,00860735668
4,7	-0,00720554870016	0,820304748437	-1,03053360356
4,72	-0,0139441147716	0,820304748437	-1,03053360356
4,74	-0,00720554870016	0,837758040957	-1,05245985045
4,76	-0,0139441147716	0,837758040957	-1,05245985045
4,78	-0,0139441147716	0,855211333477	-1,07438609733
4,8	-0,020682680843	0,872664625997	-1,09631234422
4,82	-0,00720554870016	0,907571211037	-1,14016483799
4,84	-0,0139441147716	0,942477796077	-1,18401733175
4,86	-0,000466982628748	0,977384381117	-1,22786982552
4,88	-0,0139441147716	1,01229096616	-1,27172231929
4,9	-0,0139441147716	1,02974425868	-1,29364856618
4,92	-0,0139441147716	1,0471975512	-1,31557481306
4,94	-0,00720554870016	1,06465084372	-1,33750105995
4,96	-0,00720554870016	1,06465084372	-1,33750105995
4,98	-0,0139441147716	1,08210413624	-1,35942730683
5	-0,0139441147716	1,08210413624	-1,35942730683
5,02	-0,000466982628748	1,09955742876	-1,38135355371
5,04	-0,0139441147716	1,09955742876	-1,38135355371
5,06	-0,0139441147716	1,11701072128	-1,4032798006
5,08	-0,020682680843	1,11701072128	-1,4032798006
5,1	-0,0139441147716	1,1344640138	-1,42520604748
5,12	-0,0139441147716	1,15191730632	-1,44713229437
5,14	-0,020682680843	1,15191730632	-1,44713229437
5,16	-0,0139441147716	1,16937059884	-1,46905854125
5,18	-0,020682680843	1,20427718388	-1,51291103502
5,2	-0,020682680843	1,23918376892	-1,55676352879
5,22	-0,020682680843	1,25663706144	-1,57868977567
5,24	-0,0139441147716	1,25663706144	-1,57868977567
5,26	-0,020682680843	1,27409035396	-1,60061602256
5,28	-0,0139441147716	1,29154364648	-1,62254226944
5,3	-0,020682680843	1,29154364648	-1,62254226944
5,32	-0,020682680843	1,29154364648	-1,62254226944
5,34	-0,0139441147716	1,308996939	-1,64446851633
5,36	-0,0274212469144	1,308996939	-1,64446851633
5,38	-0,0139441147716	1,308996939	-1,64446851633
5,4	-0,0274212469144	1,32645023152	-1,66639476321
5,42	-0,0341598129858	1,32645023152	-1,66639476321
5,44	-0,0274212469144	1,32645023152	-1,66639476321
5,46	-0,0274212469144	1,34390352404	-1,6883210101
5,48	-0,020682680843	1,34390352404	-1,6883210101
5,5	-0,0274212469144	1,36135681656	-1,71024725698
5,52	-0,020682680843	1,36135681656	-1,71024725698
5,54	-0,020682680843	1,37881010908	-1,73217350386
5,56	-0,0274212469144	1,37881010908	-1,73217350386
5,58	-0,0274212469144	1,37881010908	-1,73217350386
5,6	-0,0274212469144	1,3962634016	-1,75409975075
5,62	-0,0274212469144	1,3962634016	-1,75409975075
5,64	-0,0139441147716	1,3962634016	-1,75409975075
5,66	-0,0274212469144	1,3962634016	-1,75409975075
5,68	-0,020682680843	1,3962634016	-1,75409975075
5,7	-0,020682680843	1,3962634016	-1,75409975075
5,72	-0,020682680843	1,3962634016	-1,75409975075
5,74	-0,020682680843	1,3962634016	-1,75409975075
5,76	-0,020682680843	1,3962634016	-1,75409975075
5,78	-0,0274212469144	1,3962634016	-1,75409975075
5,8	-0,020682680843	1,3962634016	-1,75409975075
5,82	-0,0139441147716	1,3962634016	-1,75409975075
5,84	-0,0274212469144	1,3962634016	-1,75409975075
5,86	-0,0139441147716	1,3962634016	-1,75409975075
5,88	-0,0274212469144	1,3962634016	-1,75409975075
5,9	-0,0341598129858	1,3962634016	-1,75409975075
5,92	-0,0341598129858	1,3962634016	-1,75409975075
5,94	-0,020682680843	1,3962634016	-1,75409975075
5,96	-0,0139441147716	1,3962634016	-1,75409975075
5,98	-0,020682680843	1,3962634016	-1,75409975075
6	-0,020682680843	1,3962634016	-1,75409975075
6,02	-0,020682680843	1,3962634016	-1,75409975075
6,04	-0,0274212469144	1,3962634016	-1,75409975075
6,06	-0,0139441147716	1,3962634016	-1,75409975075
6,08	-0,020682680843	1,3962634016	-1,75409975075
6,1	-0,0139441147716	1,3962634016	-1,75409975075
6,12	-0,0139441147716	1,3962634016	-1,75409975075
6,14	-0,020682680843	1,3962634016	-1,75409975075
6,16	-0,020682680843	1,3962634016	-1,75409975075
6,18	-0,020682680843	1,3962634016	-1,75409975075
6,2	-0,0274212469144	1,41371669412	-1,77602599763
6,22	-0,0274212469144	1,41371669412	-1,77602599763
6,24	-0,0274212469144	1,44862327916	-1,8198784914
6,26	-0,0274212469144	1,46607657168	-1,84180473829
6,28	-0,020682680843	1,50098315672	-1,88565723205
6,3	-0,0341598129858	1,51843644924	-1,90758347894
6,32	-0,020682680843	1,53588974176	-1,92950972582
6,34	-0,0274212469144	1,53588974176	-1,92950972582
6,36	-0,0274212469144	1,55334303427	-1,95143597271
6,38	-0,0274212469144	1,55334303427	-1,95143597271
6,4	-0,0341598129858	1,57079632679	-1,97336221959
6,42	-0,0341598129858	1,57079632679	-1,97336221959
6,44	-0,0274212469144	1,57079632679	-1,97336221959
6,46	-0,0274212469144	1,57079632679	-1,97336221959
6,48	-0,0408983790572	1,57079632679	-1,97336221959
6,5	-0,0274212469144	1,58824961931	-1,99528846648
6,52	-0,020682680843	1,58824961931	-1,99528846648
6,54	-0,020682680843	1,58824961931	-1,99528846648
6,56	-0,0274212469144	1,60570291183	-2,01721471336
6,58	-0,0341598129858	1,60570291183	-2,01721471336
6,6	-0,0341598129858	1,62315620435	-2,03914096024
6,62	-0,0274212469144	1,64060949687	-2,06106720713
6,64	-0,0274212469144	1,64060949687	-2,06106720713
6,66	-0,020682680843	1,65806278939	-2,08299345401
6,68	-0,0274212469144	1,67551608191	-2,1049197009
6,7	-0,0408983790572	1,69296937443	-2,12684594778
6,72	-0,0408983790572	1,71042266695	-2,14877219467
6,74	-0,0408983790572	1,74532925199	-2,19262468844
6,76	-0,0341598129858	1,78023583703	-2,2364771822
6,78	-0,0341598129858	1,81514242207	-2,28032967597
6,8	-0,0476369451286	1,83259571459	-2,30225592286
6,82	-0,0408983790572	1,85004900711	-2,32418216974
6,84	-0,0476369451286	1,85004900711	-2,32418216974
6,86	-0,0408983790572	1,86750229963	-2,34610841663
6,88	-0,0408983790572	1,88495559215	-2,36803466351
6,9	-0,0408983790572	1,88495559215	-2,36803466351
6,92	-0,0408983790572	1,90240888467	-2,38996091039
6,94	-0,0476369451286	1,93731546971	-2,43381340416
6,96	-0,0408983790572	1,95476876223	-2,45573965105
6,98	-0,0543755112001	1,98967534727	-2,49959214482
7	-0,0611140772715	2,04203522483	-2,56537088547
7,02	-0,0543755112001	2,07694180987	-2,60922337924
7,04	-0,0543755112001	2,09439510239	-2,63114962612
7,06	-0,0678526433429	2,11184839491	-2,65307587301
7,08	-0,0543755112001	2,12930168743	-2,67500211989
7,1	-0,0543755112001	2,14675497995	-2,69692836678
7,12	-0,0611140772715	2,14675497995	-2,69692836678
7,14	-0,0611140772715	2,16420827247	-2,71885461366
7,16	-0,0543755112001	2,18166156499	-2,74078086054
7,18	-0,0611140772715	2,19911485751	-2,76270710743
7,2	-0,0678526433429	2,21656815003	-2,78463335431
7,22	-0,0678526433429	2,23402144255	-2,8065596012
7,24	-0,0745912094143	2,28638132011	-2,87233834185
7,26	-0,0813297754857	2,32128790515	-2,91619083562
7,28	-0,0813297754857	2,33874119767	-2,9381170825
7,3	-0,0813297754857	2,35619449019	-2,96004332939
7,32	-0,0745912094143	2,37364778271	-2,98196957627
7,34	-0,0813297754857	2,39110107523	-3,00389582316
7,36	-0,0880683415571	2,39110107523	-3,00389582316
7,38	-0,0813297754857	2,39110107523	-3,00389582316
7,4	-0,0745912094143	2,39110107523	-3,00389582316
7,42	-0,0745912094143	2,39110107523	-3,00389582316
7,44	-0,0813297754857	2,39110107523	-3,00389582316
7,46	-0,0880683415571	2,39110107523	-3,00389582316
7,48	-0,0813297754857	2,39110107523	-3,00389582316
7,5	-0,0880683415571	2,39110107523	-3,00389582316
7,52	-0,0880683415571	2,39110107523	-3,00389582316
7,54	-0,0948069076285	2,40855436775	-3,02582207004
7,56	-0,0813297754857	2,40855436775	-3,02582207004
7,58	-0,0880683415571	2,40855436775	-3,02582207004
7,6	-0,0880683415571	2,40855436775	-3,02582207004
7,62	-0,0813297754857	2,40855436775	-3,02582207004
7,64	-0,0880683415571	2,40855436775	-3,02582207004
7,66	-0,0880683415571	2,42600766027	-3,04774831692
7,68	-0,0880683415571	2,42600766027	-3,04774831692
7,7	-0,0948069076285	2,42600766027	-3,04774831692
7,72	-0,0813297754857	2,42600766027	-3,04774831692
7,74	-0,0948069076285	2,44346095279	-3,06967456381
7,76	-0,0880683415571	2,44346095279	-3,06967456381
7,78	-0,0948069076285	2,44346095279	-3,06967456381
7,8	-0,0880683415571	2,44346095279	-3,06967456381
7,82	-0,0880683415571	2,46091424531	-3,09160081069
7,84	-0,0948069076285	2,46091424531	-3,09160081069
7,86	-0,0948069076285	2,47836753783	-3,11352705758
7,88	-0,0880683415571	2,47836753783	-3,11352705758
7,9	-0,0948069076285	2,49582083035	-3,13545330446
7,92	-0,1015454737	2,51327412287	-3,15737955135
7,94	-0,1015454737	2,53072741539	-3,17930579823
7,96	-0,108284039771	2,54818070791	-3,20123204512
7,98	-0,108284039771	2,56563400043	-3,223158292
8	-0,108284039771	2,58308729295	-3,24508453888
8,02	-0,115022605843	2,58308729295	-3,24508453888
8,04	-0,115022605843	2,60054058547	-3,26701078577
8,06	-0,115022605843	2,60054058547	-3,26701078577
8,08	-0,0948069076285	2,60054058547	-3,26701078577
8,1	-0,108284039771	2,60054058547	-3,26701078577
8,12	-0,108284039771	2,61799387799	-3,28893703265
8,14	-0,115022605843	2,61799387799	-3,28893703265
8,16	-0,108284039771	2,61799387799	-3,28893703265
8,18	-0,1015454737	2,61799387799	-3,28893703265
8,2	-0,108284039771	2,61799387799	-3,28893703265
8,22	-0,115022605843	2,61799387799	-3,28893703265
8,24	-0,115022605843	2,61799387799	-3,28893703265
8,26	-0,115022605843	2,63544717051	-3,31086327954
8,28	-0,115022605843	2,63544717051	-3,31086327954
8,3	-0,108284039771	2,63544717051	-3,31086327954
8,32	-0,115022605843	2,63544717051	-3,31086327954
8,34	-0,108284039771	2,63544717051	-3,31086327954
8,36	-0,115022605843	2,63544717051	-3,31086327954
8,38	-0,121761171914	2,63544717051	-3,31086327954
8,4	-0,115022605843	2,63544717051	-3,31086327954
8,42	-0,108284039771	2,63544717051	-3,31086327954
8,44	-0,108284039771	2,63544717051	-3,31086327954
8,46	-0,115022605843	2,63544717051	-3,31086327954
8,48	-0,121761171914	2,63544717051	-3,31086327954
8,5	-0,121761171914	2,63544717051	-3,31086327954
8,52	-0,121761171914	2,63544717051	-3,31086327954
8,54	-0,115022605843	2,63544717051	-3,31086327954
8,56	-0,108284039771	2,63544717051	-3,31086327954
8,58	-0,115022605843	2,63544717051	-3,31086327954
8,6	-0,1015454737	2,65290046303	-3,33278952642
8,62	-0,108284039771	2,65290046303	-3,33278952642
8,64	-0,108284039771	2,65290046303	-3,33278952642
8,66	-0,108284039771	2,65290046303	-3,33278952642
8,68	-0,108284039771	2,65290046303	-3,33278952642
8,7	-0,115022605843	2,65290046303	-3,33278952642
8,72	-0,115022605843	2,67035375555	-3,35471577331
8,74	-0,115022605843	2,68780704807	-3,37664202019
8,76	-0,121761171914	2,70526034059	-3,39856826707
8,78	-0,128499737986	2,72271363311	-3,42049451396
8,8	-0,1487154362	2,74016692563	-3,44242076084
8,82	-0,135238304057	2,77507351067	-3,48627325461
8,84	-0,155454002271	2,79252680319	-3,5081995015
8,86	-0,141976870128	2,80998009571	-3,53012574838
8,88	-0,141976870128	2,82743338823	-3,55205199526
8,9	-0,162192568343	2,84488668075	-3,57397824215
8,92	-0,162192568343	2,87979326579	-3,61783073592
8,94	-0,162192568343	2,89724655831	-3,6397569828
8,96	-0,168931134414	2,91469985083	-3,66168322969
8,98	-0,189146832628	2,93215314335	-3,68360947657
9	-0,175669700486	2,94960643587	-3,70553572346
9,02	-0,189146832628	2,94960643587	-3,70553572346
9,04	-0,189146832628	2,96705972839	-3,72746197034
9,06	-0,189146832628	2,96705972839	-3,72746197034
9,08	-0,209362530843	2,98451302091	-3,74938821722
9,1	-0,1958853987	3,00196631343	-3,77131446411
9,12	-0,202623964771	3,03687289847	-3,81516695788
9,14	-0,216101096914	3,05432619099	-3,83709320476
9,16	-0,236316795128	3,08923277603	-3,88094569853
9,18	-0,2430553612	3,12413936107	-3,9247981923
9,2	-0,249793927271	3,12413936107	-3,9247981923
9,22	-0,2430553612	3,14159265359	-3,94672443918
9,24	-0,249793927271	3,14159265359	-3,94672443918
9,26	-0,256532493342	3,14159265359	-3,94672443918
9,28	-0,256532493342	3,14159265359	-3,94672443918
9,3	-0,256532493342	3,15904594611	-3,96865068607
9,32	-0,263271059414	3,15904594611	-3,96865068607
9,34	-0,270009625485	3,17649923863	-3,99057693295
9,36	-0,263271059414	3,17649923863	-3,99057693295
9,38	-0,283486757628	3,19395253115	-4,01250317984
9,4	-0,2902253237	3,21140582367	-4,03442942672
9,42	-0,283486757628	3,21140582367	-4,03442942672
9,44	-0,2902253237	3,22885911619	-4,0563556736
9,46	-0,303702455842	3,24631240871	-4,07828192049
9,48	-0,310441021914	3,26376570123	-4,10020816737
9,5	-0,317179587985	3,28121899375	-4,12213441426
9,52	-0,330656720128	3,29867228627	-4,14406066114
9,54	-0,337395286199	3,31612557879	-4,16598690803
9,56	-0,344133852271	3,33357887131	-4,18791315491
9,58	-0,350872418342	3,35103216383	-4,2098394018
9,6	-0,357610984414	3,36848545635	-4,23176564868
9,62	-0,377826682628	3,38593874887	-4,25369189556
9,64	-0,391303814771	3,40339204139	-4,27561814245
9,66	-0,398042380842	3,40339204139	-4,27561814245
9,68	-0,398042380842	3,42084533391	-4,29754438933
9,7	-0,404780946914	3,42084533391	-4,29754438933
9,72	-0,418258079056	3,43829862643	-4,31947063622
9,74	-0,418258079056	3,43829862643	-4,31947063622
9,76	-0,424996645128	3,45575191895	-4,3413968831
9,78	-0,431735211199	3,45575191895	-4,3413968831
9,8	-0,438473777271	3,45575191895	-4,3413968831
9,82	-0,438473777271	3,47320521147	-4,36332312999
9,84	-0,445212343342	3,49065850399	-4,38524937687
9,86	-0,451950909413	3,49065850399	-4,38524937687
9,88	-0,478905173699	3,50811179651	-4,40717562375
9,9	-0,465428041556	3,52556508903	-4,42910187064
9,92	-0,485643739771	3,52556508903	-4,42910187064
9,94	-0,485643739771	3,54301838155	-4,45102811752
9,96	-0,499120871913	3,56047167407	-4,47295436441
9,98	-0,512598004056	3,56047167407	-4,47295436441
10	-0,546290834413	3,57792496659	-4,49488061129
10,02	-0,546290834413	3,59537825911	-4,51680685818
10,04	-0,553029400485	3,61283155163	-4,53873310506
10,06	-0,566506532627	3,61283155163	-4,53873310506
10,08	-0,573245098699	3,63028484415	-4,56065935194
10,1	-0,586722230842	3,63028484415	-4,56065935194
10,12	-0,586722230842	3,63028484415	-4,56065935194
10,14	-0,600199362985	3,64773813667	-4,58258559883
10,16	-0,606937929056	3,64773813667	-4,58258559883
10,18	-0,613676495127	3,64773813667	-4,58258559883
10,2	-0,606937929056	3,66519142919	-4,60451184571
10,22	-0,613676495127	3,66519142919	-4,60451184571
10,24	-0,606937929056	3,66519142919	-4,60451184571
10,26	-0,62715362727	3,66519142919	-4,60451184571
10,28	-0,633892193342	3,68264472171	-4,6264380926
10,3	-0,647369325484	3,68264472171	-4,6264380926
10,32	-0,654107891556	3,68264472171	-4,6264380926
10,34	-0,654107891556	3,70009801423	-4,64836433948
10,36	-0,667585023699	3,70009801423	-4,64836433948
10,38	-0,67432358977	3,70009801423	-4,64836433948
10,4	-0,67432358977	3,70009801423	-4,64836433948
10,42	-0,681062155842	3,71755130675	-4,67029058637
10,44	-0,67432358977	3,71755130675	-4,67029058637
10,46	-0,67432358977	3,71755130675	-4,67029058637
10,48	-0,681062155842	3,71755130675	-4,67029058637
10,5	-0,687800721913	3,71755130675	-4,67029058637
10,52	-0,694539287984	3,73500459927	-4,69221683325
10,54	-0,714754986199	3,73500459927	-4,69221683325
10,56	-0,701277854056	3,73500459927	-4,69221683325
10,58	-0,714754986199	3,73500459927	-4,69221683325
10,6	-0,701277854056	3,73500459927	-4,69221683325
10,62	-0,714754986199	3,75245789179	-4,71414308014
10,64	-0,714754986199	3,75245789179	-4,71414308014
10,66	-0,714754986199	3,75245789179	-4,71414308014
10,68	-0,714754986199	3,75245789179	-4,71414308014
10,7	-0,72149355227	3,75245789179	-4,71414308014
10,72	-0,72149355227	3,75245789179	-4,71414308014
10,74	-0,728232118341	3,75245789179	-4,71414308014
10,76	-0,741709250484	3,75245789179	-4,71414308014
10,78	-0,741709250484	3,76991118431	-4,73606932702
10,8	-0,741709250484	3,76991118431	-4,73606932702
10,82	-0,748447816556	3,76991118431	-4,73606932702
10,84	-0,748447816556	3,76991118431	-4,73606932702
10,86	-0,741709250484	3,76991118431	-4,73606932702
10,88	-0,734970684413	3,76991118431	-4,73606932702
10,9	-0,734970684413	3,76991118431	-4,73606932702
10,92	-0,741709250484	3,76991118431	-4,73606932702
10,94	-0,72149355227	3,76991118431	-4,73606932702
10,96	-0,714754986199	3,76991118431	-4,73606932702
10,98	-0,708016420127	3,76991118431	-4,73606932702
11	-0,72149355227	3,76991118431	-4,73606932702
11,02	-0,728232118341	3,76991118431	-4,73606932702
11,04	-0,728232118341	3,76991118431	-4,73606932702
11,06	-0,728232118341	3,76991118431	-4,73606932702
11,08	-0,728232118341	3,75245789179	-4,71414308014
11,1	-0,728232118341	3,75245789179	-4,71414308014
